Countries,internet_users,Percent_Population,Population,Region,Longitude,Latitude
Algeria,25428159,0.58,43851044,Africa,3.05097,36.7397
Angola,7078067,0.22,32866272,Africa,13.242,-8.81155
Benin,3801758,0.31,12123200,Africa,2.6323,6.4779
Botswana,1116079,0.48,2351627,Africa,25.9201,-24.6544
Burkina Faso,3704265,0.18,20903273,Africa,-1.53395,12.3605
Burundi,1154568,0.1,11890784,Africa,29.3639,-3.3784
Cameroon,6128422,0.23,26545863,Africa,11.5174,3.8721
Chad,1027932,0.06,16425864,Africa,15.0445,12.1048
Comoros,178500,0.21,869901,Africa,43.2418,-11.6986
Djibouti,548832,0.56,988000,Africa,43.1425,11.5806
Equatorial Guinea,356891,0.25,1402985,Africa,8.7741,3.7523
Eritrea,293343,0.08,3546421,Africa,38.9183,15.3315
Eswatini,665245,0.57,1160164,Africa,31.4659,-26.5225
Ethiopia,20507255,0.18,114963588,Africa,38.7468,9.02274
Gabon,1307641,0.59,2225734,Africa,9.45162,0.38832
Ghana,11737818,0.38,31072940,Africa,-0.20795,5.57045
Guinea,2411672,0.18,13132795,Africa,-13.7,9.51667
Guinea-Bissau,250000,0.13,1968001,Africa,-15.1804,11.8037
Kenya,46870422,0.87,53771296,Africa,36.8126,-1.27975
Lesotho,682990,0.32,2142249,Africa,27.7167,-29.5208
Liberia,624610,0.12,5057681,Africa,-10.7957,6.30039
Libya,5100000,0.74,6871292,Africa,13.1072,32.8578
Madagascar,2643025,0.1,27691018,Africa,45.7167,-20.4667
Malawi,2717243,0.14,19129952,Africa,33.7703,-13.9899
Mali,12480176,0.62,20250833,Africa,-7.50034,13.5667
Mauritania,969519,0.21,4649658,Africa,-15.9824,18.2367
Mauritius,852000,0.67,1271768,Africa,57.4977,-20.1605
Morocco,23739581,0.64,36910560,Africa,-6.8704,33.9905
Mozambique,6523613,0.21,31255435,Africa,32.5713,-25.9664
Namibia,1347418,0.53,2540905,Africa,17.0931,-22.5648
Niger,2781266,0.12,24206644,Africa,2.1073,13.514
Nigeria,126078999,0.61,206139589,Africa,7.48906,9.05804
Rwanda,5981638,0.46,12952218,Africa,30.0587,-1.95325
Senegal,9749527,0.58,16743927,Africa,-17.4734,14.7247
Seychelles,71300,0.73,98347,Africa,55.4466,-4.6309
Somalia,1705300,0.11,15893222,Africa,45.3254,2.07515
South Sudan,887722,0.08,11193725,Africa,31.6,4.85
Sudan,13124100,0.3,43849260,Africa,32.5363,15.5932
Tanzania,23142960,0.39,59734218,Africa,35.7382,-6.17486
Togo,1011837,0.12,8278724,Africa,1.2255,6.1228
Tunisia,7898534,0.67,11818619,Africa,10.21,36.7899
Uganda,18502166,0.4,45741007,Africa,32.5729,0.314269
Zambia,9870427,0.54,18383955,Africa,28.2937,-15.3982
