country,cost,dlspeed
Singapore,39.84,185.25
Iceland,60.56,153.3 
South Korea,25.51,114.31 
Hungary,14.51,108.78 
United States,53.48,107.28 
Sweden,44.23,106.76 
Spain,33.48,105.03 
Switzerland,63.2,104.2 
Luxembourg,56.21,101.48 
Norway,58.4,98.72 
France,24.6,96.14 
Denmark,40.38,91.27 
Canada,45.55,91.05 
Japan,29.35,88.97 
Netherlands,46.79,86.14 
New Zealand,46.43,83.96 
Portugal,48.31,73.65 
Lithuania,13.3,71.37 
Barbados,88.37,70.37 
Israel,10.29,69.24 
Germany,28.98,65.19 
Belgium,36.09,63.85 
Malta,42.42,62 
Taiwan,20.85,61.86 
Ireland,51.44,56.43 
Poland,14.43,55.36 
United Kingdom,31.27,55.14 
Chile,35.95,54.77 
Latvia,14.76,52.91 
Finland,41.26,51.6 
Slovakia,17.08,50.66 
Estonia,21.83,47.94 
Slovenia,25.06,45.53 
Panama,85.62,45.45 
Czech Republic,20.49,44.6 
Italy,23.29,42.79 
Trinidad and Tobago,48.01,42.5 
United Arab Emirates,124.11,38.16 
Austria,40.05,37.43 
Uruguay,36.74,35.32 
Qatar,111.06,33.98 
Australia,41.69,32.96 
Saudi Arabia,75.62,29.83 
Croatia,21.12,29.19 
Bahamas,57.49,28.5 
Mexico,26.32,24.84 
Argentina,12.25,24.14 
Cyprus,41.88,22.96 
Oman,119,22.05 
Kuwait,43.13,21.76 
Greece,45.99,19.86 
Turkey,12.61,18.76 
Bahrain,76.07,18.32 
Brunei,97.4,15.15 
