Country_ID,Country_Years,Number_Of_Internet_Users_By_Country
15,1990,0
16,1990,0
17,1990,0
19,1990,0
20,1990,0
21,1990,0
22,1990,0
219,1990,0
23,1990,99709
24,1990,10070
25,1990,0
26,1990,0
27,1990,0
28,1990,0
29,1990,0
30,1990,0
4,1990,101
31,1990,0
32,1990,0
33,1990,0
34,1990,0
35,1990,0
36,1990,0
37,1990,0
38,1990,0
39,1990,0
40,1990,0
41,1990,0
42,1990,0
43,1990,0
44,1990,99970
45,1990,0
174,1990,0
173,1990,0
172,1990,0
171,1990,0
170,1990,0
169,1990,0
168,1990,0
166,1990,0
143,1990,0
165,1990,0
164,1990,0
163,1990,0
162,1990,0
167,1990,0
161,1990,5001
154,1990,0
160,1990,0
201,1990,0
65,1990,0
259,1990,0
159,1990,0
157,1990,0
156,1990,0
158,1990,0
202,1990,0
155,1990,20039
3,1990,30063
203,1990,0
153,1990,0
151,1990,0
152,1990,0
6,1990,99604
150,1990,0
149,1990,0
206,1990,0
254,1990,0
148,1990,0
147,1990,0
94,1990,0
146,1990,0
145,1990,0
139,1990,0
144,1990,0
138,1990,0
207,1990,0
137,1990,0
136,1990,0
135,1990,0
134,1990,0
2,1990,0
133,1990,4985
8,1990,10023
132,1990,0
14,1990,25269
130,1990,0
131,1990,0
129,1990,0
204,1990,0
208,1990,0
126,1990,0
125,1990,0
122,1990,0
124,1990,0
123,1990,0
121,1990,0
120,1990,0
119,1990,0
210,1990,0
262,1990,0
66,1990,0
118,1990,0
117,1990,0
116,1990,0
211,1990,0
115,1990,0
212,1990,0
114,1990,0
213,1990,0
113,1990,0
222,1990,0
111,1990,0
112,1990,0
110,1990,0
109,1990,0
142,1990,0
108,1990,0
107,1990,0
5,1990,50043
220,1990,0
106,1990,0
105,1990,0
104,1990,0
103,1990,0
128,1990,0
102,1990,30041
217,1990,0
101,1990,0
140,1990,0
100,1990,0
99,1990,0
98,1990,0
97,1990,0
96,1990,0
11,1990,0
95,1990,0
93,1990,0
226,1990,0
92,1990,0
12,1990,0
91,1990,0
229,1990,0
230,1990,0
239,1990,0
232,1990,0
90,1990,0
89,1990,0
233,1990,0
87,1990,0
86,1990,0
85,1990,0
83,1990,0
195,1990,0
82,1990,0
81,1990,0
127,1990,9986
9,1990,5060
141,1990,0
289,1990,0
79,1990,0
234,1990,0
78,1990,0
10,1990,50050
7,1990,39763
76,1990,0
64,1990,0
75,1990,0
225,1990,0
74,1990,0
235,1990,0
73,1990,0
71,1990,0
70,1990,0
69,1990,0
68,1990,0
67,1990,0
72,1990,0
1,1990,49953
13,1990,1981674
256,1990,0
63,1990,0
62,1990,0
221,1990,0
238,1990,0
84,1990,0
355,1990,2630452
61,1990,0
60,1990,0
80,1990,0
23,1991,189508
24,1991,20138
4,1991,2015
36,1991,0
37,1991,4997
41,1991,0
44,1991,159962
161,1991,10003
155,1991,70139
3,1991,80198
6,1991,199129
149,1991,5046
206,1991,0
144,1991,7081
138,1991,351
207,1991,1301
2,1991,2031
133,1991,9965
8,1991,20040
14,1991,50523
211,1991,0
113,1991,5120
107,1991,0
5,1991,80067
