Country_ID,Country_Years,Share_of_The_Population_Using_The_Internet_Country
36,1960,0.0
41,1960,0.0
206,1960,0.0
211,1960,0.0
54362,1960,0.0
75,1960,0.0
74,1960,0.0
36,1965,0.0
41,1965,0.0
206,1965,0.0
211,1965,0.0
54362,1965,0.0
75,1965,0.0
74,1965,0.0
36,1970,0.0
41,1970,0.0
206,1970,0.0
211,1970,0.0
54362,1970,0.0
75,1970,0.0
74,1970,0.0
36,1975,0.0
41,1975,0.0
206,1975,0.0
211,1975,0.0
54362,1975,0.0
75,1975,0.0
74,1975,0.0
36,1976,0.0
41,1976,0.0
206,1976,0.0
211,1976,0.0
54362,1976,0.0
75,1976,0.0
74,1976,0.0
36,1977,0.0
41,1977,0.0
206,1977,0.0
211,1977,0.0
54362,1977,0.0
75,1977,0.0
74,1977,0.0
36,1978,0.0
41,1978,0.0
206,1978,0.0
211,1978,0.0
54362,1978,0.0
75,1978,0.0
74,1978,0.0
36,1979,0.0
41,1979,0.0
206,1979,0.0
211,1979,0.0
54362,1979,0.0
75,1979,0.0
74,1979,0.0
36,1980,0.0
41,1980,0.0
206,1980,0.0
211,1980,0.0
54362,1980,0.0
75,1980,0.0
74,1980,0.0
36,1981,0.0
41,1981,0.0
206,1981,0.0
211,1981,0.0
54362,1981,0.0
75,1981,0.0
74,1981,0.0
36,1982,0.0
41,1982,0.0
206,1982,0.0
211,1982,0.0
54362,1982,0.0
75,1982,0.0
74,1982,0.0
36,1983,0.0
41,1983,0.0
206,1983,0.0
211,1983,0.0
54362,1983,0.0
75,1983,0.0
74,1983,0.0
36,1984,0.0
41,1984,0.0
206,1984,0.0
211,1984,0.0
54362,1984,0.0
75,1984,0.0
74,1984,0.0
36,1985,0.0
41,1985,0.0
206,1985,0.0
211,1985,0.0
54362,1985,0.0
75,1985,0.0
74,1985,0.0
36,1986,0.0
41,1986,0.0
206,1986,0.0
211,1986,0.0
54362,1986,0.0
75,1986,0.0
74,1986,0.0
36,1987,0.0
41,1987,0.0
206,1987,0.0
211,1987,0.0
54362,1987,0.0
75,1987,0.0
74,1987,0.0
36,1988,0.0
41,1988,0.0
206,1988,0.0
211,1988,0.0
54362,1988,0.0
75,1988,0.0
74,1988,0.0
36,1989,0.0
41,1989,0.0
206,1989,0.0
211,1989,0.0
107,1989,0.0
54362,1989,0.0
75,1989,0.0
74,1989,0.0
309,1990,0.0
312,1990,0.0
310,1990,0.0
4674,1990,0.000245372990159277
345,1990,0.00725636996182045
4673,1990,0.0
34680,1990,0.0
317,1990,0.0724591233353121
4676,1990,0.0480492440070318
4675,1990,0.0
34681,1990,0.0
318,1990,0.0691553312165577
319,1990,0.0
321,1990,0.0
320,1990,0.252175628259111
4677,1990,0.0
4678,1990,0.0
4680,1990,0.0
4681,1990,0.0
4679,1990,0.0
4683,1990,0.0
344,1990,0.0
4682,1990,0.0
34682,1990,0.0
325,1990,0.0
328,1990,0.0
326,1990,0.0
327,1990,0.0
293,1990,0.00194768770296988
4684,1990,0.0
34683,1990,0.0
330,1990,0.0
294,1990,0.742692502597348
334,1990,0.24375088029863
335,1990,0.0
336,1990,0.0
4687,1990,0.27048705971005
4685,1990,0.0
339,1990,0.0
302,1990,0.0
4693,1990,0.0
289,1990,0.0
4688,1990,0.0
34684,1990,0.0
340,1990,0.0
355,1990,0.0493430849544745
15,1990,0.0
16,1990,0.0
17,1990,0.0
246,1990,0.0
18,1990,0.0
19,1990,0.0
20,1990,0.0
21,1990,0.0
22,1990,0.0
219,1990,0.0
23,1990,0.585094712206538
24,1990,0.130369376859149
25,1990,0.0
26,1990,0.0
27,1990,0.0
28,1990,0.0
29,1990,0.0
30,1990,0.0
4,1990,0.00100673961837521
31,1990,0.0
32,1990,0.0
194,1990,0.0
33,1990,0.0
34,1990,0.0
35,1990,0.0
36,1990,0.0
37,1990,0.0
196,1990,0.0
38,1990,0.0
39,1990,0.0
40,1990,0.0
41,1990,0.0
45,1990,0.0
42,1990,0.0
43,1990,0.0
44,1990,0.360999700586848
197,1990,0.0
174,1990,0.0
173,1990,0.0
172,1990,0.0
171,1990,0.0
170,1990,0.0
169,1990,0.0
167,1990,0.0
168,1990,0.0
166,1990,0.0
143,1990,0.0
165,1990,0.0
164,1990,0.0
163,1990,0.0
162,1990,0.0
161,1990,0.0972772676449777
154,1990,0.0
200,1990,0.0
160,1990,0.0
201,1990,0.0
65,1990,0.0
259,1990,0.0
159,1990,0.0
157,1990,0.0
156,1990,0.0
78,1990,0.0
158,1990,0.0
250,1990,0.0
202,1990,0.0
155,1990,0.401087669542265
3,1990,0.0527778615870672
203,1990,0.0
153,1990,0.0
151,1990,0.0
152,1990,0.0
6,1990,0.125892223365436
150,1990,0.0
251,1990,0.0
149,1990,0.0
205,1990,0.0
206,1990,0.0
254,1990,0.0
148,1990,0.0
147,1990,0.0
94,1990,0.0
146,1990,0.0
145,1990,0.0
139,1990,0.0
144,1990,0.0
138,1990,0.0
207,1990,0.0
137,1990,0.0
136,1990,0.0
135,1990,0.0
134,1990,0.0
